,,,Isotope,,,Ru100(LR),Ru101(LR),Ru102(LR),Ru104(LR),Ru96(LR),Ru98(LR),Ru99(LR),Rh103(LR),Pd102(LR),Pd104(LR),Pd105(LR),Pd106(LR),Pd108(LR),Pd110(LR),In115(LR),Re185(LR),Re187(LR),Os189(LR),Ir191(LR),Ir193(LR),Pt190(LR),Pt192(LR),Pt194(LR),Pt195(LR),Pt196(LR),Pt198(LR),Mo95(LR),Zr90(LR),Sn118(LR),Hg200(LR),Cd111(LR),Pd106/Pd105(LR),Re185/Re187(LR),Ir191/Ir193(LR),Pt194/Pt195(LR),
Blank ID 1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike 1-1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.028,0.000,0.019,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96,8.56,48.42,29.52,
Spike 2-1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.024,0.000,0.012,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.23,8.80,48.71,29.00,
Spike 3-1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.011,0.000,0.010,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54,8.33,50.41,22.30,
Spike 4-1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.011,0.000,0.009,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75,8.64,55.08,21.20,
0.1 ppb,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040,0.058,0.035,0.255,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,3.30,6.04,3.57,
1 ppb,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.374,0.468,0.358,2.424,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,6.62,20.32,6.50,
HCl +  Spike 1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.012,0.000,0.007,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.78,9.25,42.72,59.81,
BHVO-2 (1026) 1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143.977,278.835,70.322,1713.079,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,11.44,7.51,12.32,
BCR-2 (1026) 1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7601.706,206.727,17.212,821.033,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,10.15,17.60,30.26,
SPS SW2-1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.178,0.002,0.000,0.006,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.70,13.54,42.07,83.20,
T225 (3719) 1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.467,0.008,0.000,0.002,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,6.73,70.14,220.07,
M248 (9823) 1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.88,14.83,62.38,56.84,
Tiefensee 1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429,0.007,0.000,0.004,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47,7.76,59.68,105.36,
Tiefensee Evap 1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.224,0.005,0.000,0.004,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,6.17,24.63,32.29,
Blank + Spike 1,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.002,0.000,0.004,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,12.75,53.66,28.60,
Blank ID 2,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags:   S=Amplifier Skipped    D=Intensity Defocussed   O=Overflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
