,,,Isotope,,,Ru100(LR),Ru101(LR),Ru102(LR),Ru104(LR),Ru96(LR),Ru98(LR),Ru99(LR),Rh103(LR),Pd102(LR),Pd104(LR),Pd105(LR),Pd106(LR),Pd108(LR),Pd110(LR),In115(LR),Re185(LR),Re187(LR),Os189(LR),Ir191(LR),Ir193(LR),Pt190(LR),Pt192(LR),Pt194(LR),Pt195(LR),Pt196(LR),Pt198(LR),Mo95(LR),Zr90(LR),Sn118(LR),Hg200(LR),Cd111(LR),Pd106/Pd105(LR),Re185/Re187(LR),Ir191/Ir193(LR),Pt194/Pt195(LR),
Spülblank,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uE,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mE,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moE,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank 2,,,Concentration AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 ppb,,,Concentration AVG,,,0.913,0.913,0.913,0.906,0.902,0.868,0.909,0.912,0.913,,,,,,,0.912,0.912,0.803,0.895,0.910,0.321,0.915,0.908,0.908,0.909,0.908,,,,,,,,,,
,,,Concentration RSD,[%],,2.16,1.97,1.80,2.66,5.89,8.24,3.38,1.80,1.78,,,,,,,1.83,1.87,4.40,2.18,2.29,834.35,112.30,2.23,2.31,1.94,2.50,,,,,,,,,,
DI,,,Concentration AVG,,,0.032,-0.001,-0.000,-0.001,0.040,0.547,-0.006,-0.000,-0.000,,,,,,,-0.002,-0.001,0.015,-0.024,-0.000,0.053,-0.020,-0.001,-0.001,-0.001,-0.002,,,,,,,,,,
,,,Concentration RSD,[%],,6.84,70.82,117.87,46.96,57.42,6.16,19.57,20.10,77.85,,,,,,,16.74,25.84,66.45,0.33,9.50,710.76,1039.10,20.19,28.99,30.92,56.57,,,,,,,,,,
Tiefensee,,,Concentration AVG,,,-0.021,0.001,0.009,0.110,9.267,-0.225,0.013,0.010,0.020,,,,,,,-0.002,-0.001,-0.009,-0.005,0.003,0.053,0.045,0.017,0.012,0.023,0.019,,,,,,,,,,
,,,Concentration RSD,[%],,76.38,42.57,16.43,9.28,5.36,103.17,11.69,5.05,6.58,,,,,,,14.43,14.85,30.58,25.95,8.97,532.82,380.50,12.01,15.43,10.14,31.24,,,,,,,,,,
SPS SW2,,,Concentration AVG,,,-0.020,0.001,-0.000,-0.022,11.228,-0.223,0.025,0.007,0.008,,,,,,,-0.002,-0.001,-0.011,-0.001,0.001,0.050,-0.099,0.007,0.006,0.008,0.014,,,,,,,,,,
,,,Concentration RSD,[%],,35.52,55.23,293.87,22.09,2.35,47.51,9.91,6.81,8.32,,,,,,,24.55,18.15,16.99,135.23,20.48,528.18,115.52,14.55,12.58,12.51,23.97,,,,,,,,,,
T225 (3719),,,Concentration AVG,,,0.023,0.003,0.053,0.767,0.122,1.200,0.014,0.034,0.065,,,,,,,0.007,-0.002,-0.011,-0.004,-0.000,0.301,-0.125,0.001,0.001,0.001,0.004,,,,,,,,,,
,,,Concentration RSD,[%],,1363.06,22.07,5.15,3.54,833.38,423.51,14.28,3.25,4.17,,,,,,,8.27,6.76,22.62,23.17,32.88,98.93,163.53,57.44,67.62,79.81,53.70,,,,,,,,,,
M248 (9823),,,Concentration AVG,,,0.055,0.005,0.175,2.493,0.182,0.456,0.009,0.060,0.191,,,,,,,0.005,0.006,-0.014,-0.024,-0.000,0.023,-0.079,-0.001,-0.001,-0.001,-0.001,,,,,,,,,,
,,,Concentration RSD,[%],,23.56,14.38,4.09,3.19,39.82,32.02,20.01,3.25,3.67,,,,,,,12.99,7.75,12.01,0.54,7.05,1165.10,206.94,17.95,23.11,30.71,118.52,,,,,,,,,,
BHVO-2 (1026),,,Concentration AVG,,,65.694,5.565,136.948,1968.251,13.858,522.550,29.027,54.153,149.998,,,,,,,-1.066,-0.725,66.420,-76.799,15.609,723.407,-610.313,66.512,64.334,63.273,271.109,,,,,,,,,,
,,,Concentration RSD,[%],,522.14,45.00,15.34,16.18,10888.48,780.33,22.28,15.33,15.41,,,,,,,297.19,271.23,119.89,10.15,44.87,268.95,144.92,19.27,21.45,20.77,53.92,,,,,,,,,,
BCR-2 (1026),,,Concentration AVG,,,166.389,6.689,194.088,2782.543,626.748,2278.352,24.800,66.808,212.856,,,,,,,12.082,16.166,-53.690,-93.278,-1.623,-27.889,-120.938,-1.919,-1.770,-1.608,-3.437,,,,,,,,,,
,,,Concentration RSD,[%],,10.47,33.79,6.43,2.98,21.50,7.90,25.32,4.53,5.69,,,,,,,16.90,10.45,14.55,0.43,9.83,3371.74,659.21,58.93,55.33,121.18,148.36,,,,,,,,,,
Spike 1,,,Concentration AVG,,,0.006,-0.000,-0.000,0.000,-0.039,0.108,0.007,-0.000,0.000,,,,,,,0.181,0.006,-0.013,0.024,-0.000,0.024,-0.016,0.297,0.022,0.007,0.003,,,,,,,,,,
,,,Concentration RSD,[%],,101.98,59527.93,183.06,292.34,107.72,87.39,32.79,78.04,124.16,,,,,,,2.57,6.63,13.26,6.97,15.50,1071.25,759.65,1.75,5.54,12.78,47.57,,,,,,,,,,
Spike 2,,,Concentration AVG,,,0.001,0.000,-0.000,0.000,-0.086,0.042,0.005,-0.000,0.000,,,,,,,0.181,0.006,-0.014,0.024,-0.000,0.009,-0.094,0.299,0.021,0.007,0.003,,,,,,,,,,
,,,Concentration RSD,[%],,650.33,347.15,255.92,330.71,52.99,184.99,34.69,57.23,154.06,,,,,,,2.20,6.34,17.80,6.69,13.83,5456.28,193.33,2.64,5.71,13.08,38.90,,,,,,,,,,
Spike 3,,,Concentration AVG,,,0.001,0.000,0.000,0.001,-0.088,0.047,0.005,-0.000,0.000,,,,,,,0.017,-0.000,-0.016,-0.019,-0.000,0.006,-0.029,0.029,0.002,0.001,-0.000,,,,,,,,,,
,,,Concentration RSD,[%],,407.28,298.49,1803.76,69.39,49.95,194.78,29.59,27.89,195.95,,,,,,,5.89,301.69,14.24,1.99,11.01,5162.33,621.87,3.82,25.95,95.41,654.31,,,,,,,,,,
Spike 4,,,Concentration AVG,,,-0.824,0.060,0.008,0.056,43.134,-17.019,0.890,0.023,0.026,,,,,,,1.674,0.413,0.790,0.270,0.003,3.437,-0.188,1.737,0.195,0.109,0.093,,,,,,,,,,
