Isotope,IF cor AVG,,IF cor STD,,IF cor RSD,,
Ru100(LR),-895.5,,207.3,,23.15,,
Ru101(LR),164.2,,26.2,,15.95,,
Ru102(LR),-22.9,,27.5,,119.95,,
Ru104(LR),-1191.9,,191.5,,16.06,,
Ru96(LR),24268.6,,696.0,,2.87,,
Ru98(LR),-3054.7,,464.0,,15.19,,
Ru99(LR),971.0,,90.4,,9.31,,
Rh103(LR),1926.3,,259.6,,13.48,,
Pd102(LR),264.5,,30.5,,11.54,,
Pd104(LR),1945.9,,144.5,,7.43,,
Pd105(LR),6289.4,,479.2,,7.62,,
Pd106(LR),505595.8,,69879.0,,13.82,,
Pd108(LR),4220.6,,367.8,,8.71,,
Pd110(LR),1434.0,,178.4,,12.44,,
In115(LR),30452.0,,4082.6,,13.41,,
Re185(LR),381541.1,,56338.5,,14.77,,
Re187(LR),25778.6,,3355.3,,13.02,,
Os189(LR),7281.3,,717.1,,9.85,,
Ir191(LR),89313.3,,12476.3,,13.97,,
Ir193(LR),950.0,,144.2,,15.18,,
Pt190(LR),-331.3,,493.8,,149.04,,
Pt192(LR),-578.3,,1145.3,,198.03,,
Pt194(LR),321961.8,,53158.0,,16.51,,
Pt195(LR),24262.4,,3556.6,,14.66,,
Pt196(LR),5968.9,,888.8,,14.89,,
Pt198(LR),744.6,,127.3,,17.10,,
Mo95(LR),3497.0,,410.6,,11.74,,
Zr90(LR),4842.5,,757.7,,15.65,,
Sn118(LR),7921.0,,734.3,,9.27,,
Hg200(LR),28.9,,14.6,,50.35,,
Cd111(LR),371.6,,191.7,,51.58,,
